 2.62067801e+00 -5.09241678e+00  3.42084137e-01
  3.02293699e+00 -4.30174758e+00  7.58533321e-01
  3.42519597e+00 -3.51107837e+00  1.17498250e+00
  3.82745495e+00 -2.72040917e+00  1.59143169e+00
  4.22971393e+00 -1.92973997e+00  2.00788087e+00
  4.63197291e+00 -1.13907076e+00  2.42433006e+00
  5.03423189e+00 -3.48401561e-01  2.84077924e+00
  5.43649087e+00  4.42267643e-01  3.25722842e+00
  5.83874985e+00  1.23293685e+00  3.67367761e+00
  6.24100883e+00  2.02360605e+00  4.09012679e+00
 -6.54866817e+00  4.36538250e+00 -5.36300457e+00
 -5.73116502e+00  3.86359851e+00 -5.56375670e+00
 -4.91366186e+00  3.36181451e+00 -5.76450883e+00
 -4.09615871e+00  2.86003052e+00 -5.96526096e+00
 -3.27865555e+00  2.35824653e+00 -6.16601309e+00
 -2.46115240e+00  1.85646253e+00 -6.36676522e+00
 -1.64364925e+00  1.35467854e+00 -6.56751735e+00
 -8.26146093e-01  8.52894545e-01 -6.76826948e+00
 -8.64293966e-03  3.51110552e-01 -6.96902161e+00
  8.08860214e-01 -1.50673442e-01 -7.16977373e+00
 -1.07884501e+00 -2.84018433e+00  4.73917789e+00
 -6.23417565e-01 -2.18147695e+00  4.17429699e+00
 -1.67990119e-01 -1.52276956e+00  3.60941610e+00
  2.87437327e-01 -8.64062183e-01  3.04453520e+00
  7.42864773e-01 -2.05354801e-01  2.47965430e+00
  1.19829222e+00  4.53352580e-01  1.91477341e+00
  1.65371967e+00  1.11205996e+00  1.34989251e+00
  2.10914711e+00  1.77076734e+00  7.85011616e-01
  2.56457456e+00  2.42947473e+00  2.20130720e-01
  3.02000200e+00  3.08818211e+00 -3.44750176e-01
  8.70573435e+00 -4.63387388e+00  9.61511347e+00
  8.57630048e+00 -4.97228818e+00  8.70455176e+00
  8.44686661e+00 -5.31070248e+00  7.79399005e+00
  8.31743274e+00 -5.64911678e+00  6.88342833e+00
  8.18799887e+00 -5.98753108e+00  5.97286662e+00
  8.05856500e+00 -6.32594538e+00  5.06230490e+00
  7.92913113e+00 -6.66435967e+00  4.15174319e+00
  7.79969727e+00 -7.00277397e+00  3.24118147e+00
  7.67026340e+00 -7.34118827e+00  2.33061976e+00
  7.54082953e+00 -7.67960257e+00  1.42005804e+00
