T,frac
0.10,0.9595238095238094
0.15,0.9605904761904762
0.20,0.9691047619047619
0.25,0.9308428571428571
0.30,0.7887380952380952
0.33,0.6660142857142857
0.36,0.5241380952380952
0.37,0.4849190476190476
0.40,0.3591285714285714
0.42,0.2850904761904761
0.48,0.1483190476190476
0.50,0.1191857142857142
0.52,0.0971428571428571
0.60,0.0474476190476190
0.70,0.0247761904761906
0.80,0.0149809523809523
