T,frac
0.10,0.96
0.20,0.96498
0.25,0.92364
0.30,0.7653066666666667
0.33,0.6059599999999999
0.36,0.4682266666666667
0.37,0.41830666666666666
0.40,0.29957333333333336
0.45,0.16455999999999998
0.50,0.09171333333333333
0.60,0.03438666666666667
0.70,0.017839999999999998
