T,abs,frac,err
0.10, 439.0 , 0.9755555555555555 , 0.0
0.20, 437.0 , 0.9711111111111111 , 0.0
0.25, 416.98 , 0.9266222222222222 , 0.002698278769464975
0.30, 358.31 , 0.7962444444444444 , 0.005735100955123381
0.33, 294.03 , 0.6534 , 0.006201142744935028
0.36, 235.03 , 0.5222888888888889 , 0.009803939085831943
0.37, 208.41 , 0.46313333333333334 , 0.009460282488182054
0.40, 167.54 , 0.3723111111111111 , 0.010824219885363522
0.45, 95.46000000000001 , 0.21213333333333334 , 0.009808847687380695
0.48, 68.14 , 0.1514222222222222 , 0.014439764414928941
0.50, 50.29 , 0.11175555555555555 , 0.014294900579101792
0.52, 46.07 , 0.10237777777777778 , 0.011033420870552632
0.55, 32.199999999999996 , 0.07155555555555555 , 0.011818133855073567
0.60, 21.1 , 0.04688888888888889 , 0.007733560376970778
0.70, 10.89 , 0.0242 , 0.006883093757408508
0.80, 7.66 , 0.017022222222222223 , 0.005722257635578475
