T,abs,frac,err
0.10 , 289.0 , 0.9633333333333334 , 0.0
0.15 , 290.0 , 0.9666666666666667 , 0.0
0.20 , 293.0 , 0.9766666666666667 , 0.0
0.25 , 275.88 , 0.9196 , 0.006054003137122355
0.30 , 229.49 , 0.7649666666666667 , 0.016973571587484637
0.33 , 179.96 , 0.5998666666666667 , 0.01698299142540356
0.36 , 140.92 , 0.46973333333333334 , 0.018752807496508952
0.37 , 126.61999999999999 , 0.42206666666666665 , 0.018076902687529487
0.40 , 89.63000000000001 , 0.2987666666666667 , 0.023444444444444445
0.42 , 71.64 , 0.2388 , 0.027713136909258227
0.45 , 50.57 , 0.16856666666666667 , 0.017892652844497165
0.50 , 27.810000000000002 , 0.0927 , 0.019249061661798173
0.52 , 22.049999999999997 , 0.0735 , 0.015007480364509345
0.60 , 10.09 , 0.033633333333333335 , 0.01010711431717414
