T,abs,frac,err
0.10, 433.0 , 0.9622222222222222 , 0.0
0.15, 438.52 , 0.9744888888888888 , 0.0011158149590414586
0.20, 440.59999999999997 , 0.979111111111111 , 0.0010941465864829647
0.25, 417.9 , 0.9286666666666666 , 0.0029376019004966115
0.30, 351.7 , 0.7815555555555556 , 0.009146109998014046
0.33, 295.08 , 0.6557333333333333 , 0.02099336292601805
0.36, 235.86 , 0.5241333333333333 , 0.017265399696694526
0.37, 218.25 , 0.485 , 0.023318364072236333
0.40, 161.52 , 0.3589333333333333 , 0.01891028035435182
0.45, 98.71 , 0.21935555555555555 , 0.016761927536533276
0.50, 55.29 , 0.12286666666666667 , 0.01365966168692227
0.52, 44.980000000000004 , 0.09995555555555556 , 0.014774288002583734
0.60, 21.16 , 0.04702222222222222 , 0.010807155629239952
0.70, 11.540000000000001 , 0.025644444444444445 , 0.008018061666132625
0.80, 7.44 , 0.016533333333333334 , 0.005572991717907565
