T,abs,frac,err
0.10 , 439.0 , 0.9755555555555555 , 0.0
0.20 , 438.95 , 0.9754444444444444 , 0.00048676203012795727
0.30 , 350.56 , 0.7790222222222223 , 0.016050549901441707
0.36 , 238.51999999999998 , 0.5300444444444444 , 0.020289659511132527
0.37 , 216.72 , 0.48160000000000003 , 0.02186487085779683
0.40 , 164.02 , 0.3644888888888889 , 0.0187633113575107
0.50 , 54.220000000000006 , 0.1204888888888889 , 0.01262060658950742
0.60 , 21.53 , 0.047844444444444446 , 0.009758040481273319
0.70 , 11.129999999999999 , 0.024733333333333333 , 0.0081245756361787
0.80 , 7.65 , 0.017 , 0.005600268997512024
