T,abs,frac,err
0.10 , 1011.0 , 0.9628571428571429 , 0.0
0.15 , 1001.2400000000001 , 0.9535619047619048 , 0.00040879494856277745
0.20 , 1011.97 , 0.9637809523809524 , 0.00028571428571427804
0.25 , 977.9 , 0.9313333333333333 , 0.002205669126035849
0.30 , 823.43 , 0.7842190476190476 , 0.004742152395816924
0.33 , 696.83 , 0.663647619047619 , 0.0099822834885603
0.36 , 553.7099999999999 , 0.5273428571428571 , 0.010297834591966051
0.37 , 509.57 , 0.4853047619047619 , 0.011461596503795335
0.40 , 375.15 , 0.35728571428571426 , 0.01023633328239333
0.42 , 299.39000000000004 , 0.28513333333333335 , 0.011275140513757873
0.48 , 156.69 , 0.14922857142857143 , 0.009886962769205304
0.50 , 126.08 , 0.12007619047619048 , 0.010217793668445576
0.52 , 102.97 , 0.09806666666666666 , 0.009030469050035938
0.60 , 49.68 , 0.04731428571428571 , 0.006074700850725075
0.70 , 25.77 , 0.024542857142857144 , 0.00441726382534436
0.80 , 15.69 , 0.014942857142857143 , 0.004100693258052543
