T,abs,frac,err
0.10, 437.0 , 0.9711111111111111 , 0.0
0.20, 434.76 , 0.9661333333333333 , 0.001004789627129676
0.25, 415.03000000000003 , 0.9222888888888889 , 0.0007377042138760245
0.30, 358.26 , 0.7961333333333334 , 0.006064211422936005
0.33, 298.8 , 0.664 , 0.010762198466155315
0.36, 224.87 , 0.4997111111111111 , 0.011391107336423395
0.37, 209.45 , 0.46544444444444444 , 0.019293869445482528
0.40, 163.24 , 0.36275555555555555 , 0.009528712328967143
0.45, 94.74 , 0.21053333333333332 , 0.01592356101774102
0.48, 62.04 , 0.13786666666666667 , 0.015249253036439122
0.50, 52.5 , 0.11666666666666667 , 0.01009494767567595
0.52, 44.14 , 0.09808888888888889 , 0.01416071154075833
0.55, 32.02 , 0.07115555555555556 , 0.007864547261532696
0.60, 21.71 , 0.048244444444444444 , 0.011042639754818933
0.70, 11.24 , 0.02497777777777778 , 0.0064042634508523835
0.80, 7.319999999999999 , 0.016266666666666665 , 0.005823012086482528
