T,abs,frac,err
0.10 , 1004.0 , 0.9561904761904761 , 0.0
0.15 , 1016.0 , 0.9676190476190476 , 0.0
0.20 , 1023.15 , 0.9744285714285714 , 0.0008601305420390088
0.25 , 976.87 , 0.9303523809523809 , 0.0036939044418991666
0.30 , 832.9200000000001 , 0.7932571428571429 , 0.009175626699849036
0.33 , 701.8000000000001 , 0.6683809523809524 , 0.010003320642464066
0.36 , 546.98 , 0.5209333333333334 , 0.01006083786539629
0.37 , 508.76 , 0.4845333333333333 , 0.01511743959058792
0.40 , 379.02 , 0.36097142857142855 , 0.012642720586898368
0.42 , 299.3 , 0.28504761904761905 , 0.011082213504024795
0.48 , 154.78 , 0.14740952380952382 , 0.012085178350600436
0.50 , 124.21 , 0.11829523809523809 , 0.010084773179581308
0.52 , 101.03 , 0.09621904761904762 , 0.009024379662700985
0.60 , 49.96 , 0.047580952380952383 , 0.006712438213578765
0.70 , 26.26 , 0.02500952380952381 , 0.005013315145926533
0.80 , 15.77 , 0.01501904761904762 , 0.00368943723835447
