T,abs,frac,err
0.10, 438.08 , 0.9735111111111111 , 0.0006059109429872863
0.15, 438.7 , 0.9748888888888889 , 0.0010234804143818184
0.20, 439.47999999999996 , 0.9766222222222222 , 0.0011158149590415145
0.25, 424.12 , 0.9424888888888889 , 0.0059114300817714365
0.30, 356.72 , 0.7927111111111111 , 0.010528283038256168
0.33, 295.08 , 0.6557333333333333 , 0.02099336292601805
0.36, 235.86 , 0.5241333333333333 , 0.017265399696694526
0.37, 218.32999999999998 , 0.48517777777777776 , 0.018877477242094973
0.40, 161.52 , 0.3589333333333333 , 0.01891028035435182
0.45, 98.71 , 0.21935555555555555 , 0.016761927536533276
0.50, 55.29 , 0.12286666666666667 , 0.01365966168692227
0.52, 44.980000000000004 , 0.09995555555555556 , 0.014774288002583734
0.60, 21.16 , 0.04702222222222222 , 0.010807155629239952
0.70, 11.540000000000001 , 0.025644444444444445 , 0.008018061666132625
0.80, 7.44 , 0.016533333333333334 , 0.005572991717907565
